V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37
455.39,380.23,367.28,196.82,151.12,354.97,300.6,295.49,220.83,144.83,216.24,264.36,268.95,407.94,336.09,214.64,219.08,260.89,361.69,200.67,276.16,439.39,260.66,229.68,334.57,312.83,306.92,284.81,226.58,305.81,373.61,304.88,262.9,361.54,197.69,319.94,400.88
470.53,418.47,456.76,217.67,257.21,344.52,313.67,349.01,234.67,221.94,231.69,330.17,323.18,465.07,360.22,232.43,312.45,303.85,477.42,257.82,351.22,441.43,339.39,248.27,357.48,333.12,378.98,290.07,230.52,376.82,440.58,296.55,314.66,405.96,254.33,359.28,468.81
508.77,412.89,428.69,244.3,141.07,271.82,358.32,382.14,287.91,320.09,284.32,338.6,349.44,437.71,375.92,259.3,339.73,378.46,453.84,233.04,317.19,416.68,345.45,349.13,371.11,379.91,429.62,377.47,304.87,327.5,428.48,338.61,338.66,360.71,286.96,366.99,487.06
346,292.58,287.31,187.41,222.84,306.57,230.94,227.22,227.49,265.6,201.15,263.32,232.8,313.42,263.2,166.33,241.24,239.99,320.97,163.68,231.07,338.8,185.28,230.23,314.3,243.21,265.22,261.42,190.25,286.46,281.07,216.87,251.75,271.92,231.23,279.73,321
326.12,241.67,283.47,194.72,309.92,285.77,230.27,245.34,228.7,273.43,212.59,245.58,248.27,295.88,272.22,187.72,208.77,232.45,348.03,257.1,254.68,289.38,163.32,253.82,310.04,231.34,229.34,216.21,171.48,291.68,311.15,219.1,254.46,325.86,254.04,286.54,345.69
190.47,191.85,183.68,121.72,178.92,157.53,180.92,156.21,166.58,169.4,127.45,179.5,178.21,203.73,190.74,136.53,146.83,166.1,175.69,136.4,154.63,247.75,141.36,132.81,202.98,166.76,147.24,176.94,121.61,187.12,182.01,101.26,187.29,191.99,164.44,210.25,196.25
231.04,198.04,216.75,108.67,204.94,156.65,189.31,173.26,193.59,167.94,140.07,163.83,188.45,247.04,211.8,138.39,162.6,177.29,238.03,126.18,174.17,270.15,119.4,154.17,209.46,178.47,190.05,214.06,131.33,184.65,226.79,104.09,206.6,184.67,161.46,177.71,219.77
218.27,152.13,168.21,95.08,182.73,124.91,160.64,157.09,148.93,169.39,140.22,133.22,153.04,192,169.94,116.62,144.28,151.72,206.13,159.28,143.48,217.89,97.44,164.22,179.9,147.21,161.77,191.34,109.08,174.44,192.28,97,171.85,165.66,141.02,147.55,182.31
207.35,155.26,158.46,82.69,194.78,114.79,134.5,160.63,139.42,165.56,120.09,132.94,133.1,193.83,123.14,97.49,121.89,133.81,174.54,151.11,132.83,204.07,111.13,151.55,150.28,125.98,135.83,176.88,103.69,128.33,181.1,110.05,139.14,152.71,133.19,141.65,162.28
270.7,205.47,210.12,75.91,249.77,150.44,161.49,214.82,161.41,184.57,122.18,154.71,192.69,246.15,183.29,106,132.51,158.67,245.37,105.39,180.8,269.2,128.3,176.67,169.67,171.1,180.19,168.44,120.35,194.69,203.91,156.28,147.27,171.46,123.96,182.95,195.77
316.48,350.48,362.35,185.78,395.12,278.13,317.71,284.63,213.36,323.05,227.78,293.38,304.29,354.95,310.25,203.53,208.18,234.09,274.88,210.57,269.27,430.56,221.51,305.06,347.21,250.67,299.15,241.52,186.52,350.33,333.8,291.66,284.34,280.35,224.48,293.14,363.8
482.6,445.31,376.98,168.1,449.05,303.05,207.67,289.96,223.35,352.77,278.05,415.22,272,282.14,330.98,235.95,230.1,249.36,303.38,234.75,345.8,442.8,235.03,306.53,350.31,233.9,317.02,259.54,199.34,417.25,345.9,361.15,278.18,297.38,237.57,398.8,387.06
347.06,312.21,307.69,184.14,277.81,244.28,286.5,243.99,287.23,262.57,207.63,318.02,153.74,259.42,303.67,206.78,240.56,250.53,180.17,273.44,241.9,365.82,234.02,218.17,299.41,275.25,249.28,258.97,185.44,239.98,288.04,333.0175,286.64,292.79,257.25,301.09,316.02
143.23,94.03,99.08,55.31,132.35,70.1,83.83,98.24,102.08,109.29,76.07,82.98,35.48,115.17,94.99,55.42,72.86,83.52,125.17,106.48,93.25,130.33,82.12,104.63,92.77,82.44,88,101.29,62.63,103.73,114.04,304.885,89.7,90.4,96.94,83.83,108.44
237.79,145.52,159.4,61.76,203.04,109.59,191.21,159.29,120.35,153.98,98.31,127.71,130.93,160.16,142.52,90.05,107.14,134.54,173.16,127.92,139.53,206.17,152.95,120.24,136.94,131.67,155.32,159.04,113.96,141.89,174.42,276.7525,117.56,156.19,111.06,192.48,179.69
419.15,326.48,333.26,160.73,397.05,279.03,335.55,295.52,219.11,271.24,224.22,267,267.35,300.47,303.94,195.46,200.48,235.57,286.36,178.29,287.1,390.62,312.78,189.07,304.23,267.68,276.5,229.75,189.57,316.19,377.16,248.62,262.16,352.91,218.88,310.43,366.07
421.6,408.33,382.99,213.09,453.2,302.42,493.54,329.78,360.23,362.86,308.95,395.11,400.78,355.28,383.14,268.85,279.65,348.98,376.65,360.9,319.67,467.19,270.63,260.86,408.35,341.51,334.59,353.65,267.96,404.15,403.07,276.59,425.86,340.89,324.25,391.16,395.48
325.82,264.69,268.4,144.74,289.05,225.8,263.5,316.3,238.3,201.69,249.85,216.48,246.61,280.64,263.18,161.34,211.73,238.33,271.58,147.65,218.17,326.71,228.48,220.66,238.02,241.32,209.31,253.75,213.97,278.33,321.02,241.77,219.89,262.98,179.04,249.6,311.24
383.85,344.75,327.33,128.73,330.97,257.57,272.97,223.46,214.14,275.73,150.4,264.59,269.53,406.3,260.64,159.16,226.22,241.46,365.58,163.6,245.58,338.37,287.87,212.64,258.46,293.66,246.64,238.33,228.23,279.38,308.13,368.16,210.66,281.47,180.08,292.69,374.88
386.65,403.72,401.41,178.53,369.44,316.16,393.17,342.94,204.43,194.75,169.37,366.34,305.69,403.28,315.81,216.65,226.27,266.02,470.19,204.94,270.35,420.65,361.24,260.72,322.73,307.93,314.29,219.08,209.76,261.47,409.85,173.02,263.48,405.21,186.9,335.3,476.15
303.88,169.11,191.94,104.57,236.15,204.61,135.07,220.71,140.78,81.12,106.69,212.98,174.67,216.21,169.1,116.8,134.1,140.95,180.89,113.6,184.37,163.23,188.93,137.64,148.35,146.8,142.66,128.14,117.63,161.53,208.23,35.11,149.96,224.84,134.79,178.12,241.58
45.88,56.74,53.05,67.08,64.93,42.04,51.5,47.69,54.06,58.47,47.37,44.65,55.31,62.65,53.33,47.39,43.03,55.52,47.03,54.51,45.85,65.29,50.99,55.96,58.64,45.65,52.51,47.94,39.92,68.87,59.15,64.39,53.33,58.86,54.38,46.97,80.54
174.34,166.89,183.83,104.22,144.26,128.73,150.09,153.54,123.74,138.32,121.64,142.72,155.94,177.95,148.43,111.98,132.41,155.11,107.5,89.52,111.39,187.52,197.75,111.75,127.38,131.96,172.07,162.27,113,147.37,180.32,182.49,136.35,122.83,127.62,152.33,202.69
153.09,134.64,129.17,91.13,132.48,95.9,130.42,107.69,122.73,135.61,107.55,153.19,123.14,119.64,132.53,93.65,109.21,110.06,102.98,135.44,110.36,160.23,144.81,125.91,129.77,117.27,128.12,125.91,86.42,143.96,135.77,172.25,128.98,109.86,106.73,127.31,153.24
117.02,78.64,94.44,58.98,123,61.75,72.7,87.21,75.08,100.98,70.67,72.51,79.79,106.6,81.07,54.79,63.79,74.65,82.81,86.49,79.92,118.65,89.47,86.14,73.34,69.67,132.12,105.4,62.47,101.25,97.38,110.26,76.11,71.59,77.06,76.32,105.21
131.63,94.44,114.04,71.74,152.3,79.38,96.04,106.53,108.59,110.57,86.57,85.16,94.53,136.73,105.5,59.89,73.65,89.79,113.1,96.75,98.22,132.76,125.44,112.19,94.31,88.03,136.12,132.11,60.98,120.8,135.14,124.4,97,94,91.04,92.18,119.88
187.95,127.48,149.82,70.47,167.75,128.15,152.62,150.43,109.71,80.31,151.93,114.55,118.41,171.6,144.96,96.9,94.32,114.41,115.98,142.76,137.32,182.19,162.62,133.9,127.41,111.73,140.12,158.69,92.97,161.87,179.69,156.08,132.62,143.5,124.98,117.8,165.24
185.11,122.43,142.67,77.03,165.76,75.18,105.8,142.52,121.15,65.43,79.01,105.8,107.09,157.04,127.39,86.06,90.03,103.03,123.07,144.06,136.29,166.45,159.85,125.46,114.21,103.98,121.87,142.29,84.44,135.96,160.86,146.02,115.64,122.25,125.92,111.97,210.87
234.19,153.07,155.44,83.41,203.52,124.6,157.67,170.49,141.51,121.02,107.93,124.43,131.04,184.64,147.28,93.08,130.76,122.87,150.42,143.69,149.46,192.36,170.64,141.75,132.98,125.26,133.92,157.21,106.77,172.78,183.34,165.38,150.45,152.71,141.54,135.21,167.22
323.77,239.64,240.08,121.37,273.81,190.44,200.18,231.04,182.88,181.99,137.11,198.33,206.07,275.21,217.78,132.91,206.31,184.77,216.53,140.84,215.62,273.32,229.54,192.64,187.67,200.85,225.35,215.05,164.88,246.98,267.71,272.42,192.45,242.23,185.94,216.04,267.27
