V1,V2,V3,V4,V5,V6,V8,V9,V10,V11,V12,V13,V14,V15,V16,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39
109.18,146.5,77.82,23.26,55.07,43.18,24.92,39.65,57.47,65.89,81.62,79.81,53.49,101.13,81.64,34.1,88.74,151.39,62.26,70.26,52.02,72.03,56.36,27.79,66.66,28.36,59.67,93.67,53.98,49.12,76.6,130.92,79.78,71.7,35.98,61.09,100.61
114.99,133.02,84.12,22.56,73.26,43.8,21.48,42.86,38.57,76.26,82.42,89.47,62.51,117.33,97.09,34.41,93.14,179.24,84.27,74.77,83.5,80.45,82.98,33.82,62.88,27.15,83.96,90.54,61.07,46.59,97.92,135.09,72.27,81.74,38.17,64.9,105.73
110.56,135.06,71.68,22.4,44.41,38.25,23.91,45.55,54.94,55,77.26,74.57,47.05,90.99,77.28,30.87,86.31,103.02,57.01,46.57,40.46,76.48,72.74,24.81,70.08,31.09,60.83,98.21,52.66,60.41,48.77,124.49,68.47,64.86,50.9,58.71,84.49
100.05,107.7,55.2,22.46,35.78,32.56,19.87,56.58,57.98,53.45,70.37,58.16,36.21,73.05,71.47,30.32,86.07,119.17,47.97,45.24,27.77,59.87,41.01,24.1,65.09,24.51,85.98,84.08,35.49,57.16,39.08,95.15,64.94,49.63,54.32,47.23,69.53
95.78,85.87,54.41,21.01,58.03,24.89,18.25,71.28,35.91,67.71,71.68,53.96,44.46,78.75,65.83,28.86,66.94,101.67,75.26,80.16,52.64,56.76,34.205,35.69,50.13,21.74,133.15,69.28,39.54,50.93,70.55,89.67,62.15,68.1,36.24,56.5,82.01
90.61,88.52,47.29,21.89,39.87,23.05,18.57,54.66,44.25,52.46,64.8,44.91,36.45,64.39,52.88,26.2,64.37,111.08,41.86,43.02,25.97,51.59,27.4,29.9,49.7,20.05,89.24,72.45,27.62,53.88,35.35,74.83,51.34,44,35.06,48.52,62.65
95.48,111.93,61.06,20.85,39.94,22.4,21.24,68.81,44.09,45.79,62.74,53.35,37.82,69.92,51.61,25.62,64.74,90.38,43.88,40.8,31.15,47.27,20.595,26.06,51.27,21.65,98.01,81.17,29.32,50.29,41.61,79.31,60.24,45.95,32.48,48.54,63.77
93.9,97.89,44.83,20.89,35.68,23.08,18.35,84.1,33.37,40.9,59.82,50.98,32.37,64.26,42.15,23.86,61.38,90.92,42.26,36.63,25.75,43.54,13.79,23.05,48.14,21.63,77.57,88.74,23.68,43.85,66.32,74.09,51.84,49.04,30.12,47.18,51.65
86.91,104.32,49.34,22.64,37.8,22.99,13.27,89.1,48.53,42.95,61.2,50.25,32.21,66.68,48.61,24.72,62.41,92.8,46.16,42.56,27.57,42.47,14.76,24.57,48.45,26.48,77.5,87.08,24.49,50.78,47.81,67.7,49.68,50.96,37.03,50.96,51.36
90.18,125.59,58.27,25.23,42.85,24.53,14.76,106.94,61.82,50.43,73.93,53.82,48.54,78.83,58.33,28.27,76.42,88.07,47.66,43.69,36.03,45.59,33.93,29.04,57.37,34.4,101.65,80.33,35.25,58.72,64.22,92.96,53.43,56.38,33.6,62.27,60.72
82.59,128.96,72.38,25.64,67,25.94,14.04,136.68,67.31,90.34,97.79,67.21,76.42,92.27,90.05,36.01,104.54,101.26,49.46,78.42,59.88,68.58,56.49,42.92,71.1,29.32,203.99,80.14,59.95,83.6,92.86,137.68,82.64,68.96,55.3,73.52,83.51
111.85,151.78,77.52,27.61,101.12,25.33,14.69,217.11,61.78,87.89,95.9,97.59,76.8,103.94,100.7,33.97,100.18,99.78,64.73,73.83,95.17,77.3,59.17,44.39,72.57,45.16,208.14,88.62,60.24,53.57,115.56,158.59,79.42,90.16,44.57,80.36,89.42
89.46,119.69,58.11,27.41,50.65,25.78,16.32,89.48,77.56,64.11,73.51,74.28,51.96,82.09,84.38,28.2,82.11,106.34,46.5,62.62,33.89,58.75,39.91,37.55,62.59,39.34,122.72,98.13,45.84,65.61,57.68,155.61,73.38,55.45,47.8,58.06,70.73
72.51,90.04,44.29,25.6,38.3,26.58,26.24,66.31,46.81,32.33,57.19,39.14,32.83,60.56,49.01,20.85,56.1,71.01,32.32,34.54,18.66,34.92,15.57,18.37,46.24,31.7,65.46,73.66,21.49,43.15,34.82,152.63,38.92,38.18,32.65,36.4,46.29
79.74,105.62,55.92,25.44,47.26,26.14,58.7,115.7,46.97,41.53,62.79,56.17,38.21,72.9,65.68,23.03,67.23,66.02,39.74,41.48,27.43,43.18,26.76,23.53,51.31,34.34,85.36,79.51,36.77,47.91,52.63,149.65,63.34,53.39,35.05,51.42,66.7
88.8,129,89.71,27.65,86.36,36.84,70.28,215.7,60.02,77.68,81.01,83.24,71.34,106.9,118.12,28.53,100.38,109.17,73.27,69.16,62.29,57.69,64.84,39.52,61.55,39.45,196.59,80.05,97.95,64.68,110.37,146.67,99.49,83.33,47.37,70.32,85.09
96.21,114.64,79.11,27.68,68.48,44.72,94.84,166.78,92.21,86.21,90.66,82.51,59.05,106.31,119.82,29.57,115.49,82.24,76.68,76.5,48.55,74.72,46.785,44.67,75.24,37.77,184.87,108.08,89.99,67.09,80.43,124.5,126.16,57.35,56.13,67.5,75.33
85.47,148.78,79.86,27.58,56.34,26.96,69.45,90.8,65.79,81.28,71.8,70.49,31.52,90.85,100.64,48.38,83.47,75.2,61.38,51.65,38.51,52.19,28.73,30.94,63.86,37.77,112.44,83.75,62.19,62.06,65.03,105.33,167.85,70.37,44.68,65.2,73.81
85.65,182.92,77.04,28.16,65.95,38.57,80.32,86.03,67.74,58.98,82.18,88.41,48.17,99.13,113.31,91.59,98.63,73.98,65.9,62.76,48.49,51.68,35.44,33.79,61.98,40.13,112.36,95.14,92.52,63.62,86.49,106.93,204.35,77.56,43.9,71.07,97.51
101.83,200.83,98.28,26,112.68,55.95,81.15,145.99,56.08,72.03,89.11,119.64,68.6,143.46,154.97,72.98,130.61,113.07,93.24,89.38,82.01,77.9,62.78,45.27,67.94,51.12,187.84,113.7,117.95,61.68,146.91,144.29,247.18,111.92,45.12,92.38,134.75
90.79,96.73,47.66,26.71,65.7,34.31,35.08,97.01,28.18,48.51,63.36,58.63,39.37,79.94,87.33,26.47,61.93,72.06,74.37,62.62,50.37,42.89,35.15,29.75,40.82,27.16,115.4,60.28,57.96,47.27,78.46,71.92,112.42,60.75,36.39,48.49,86.12
50.92,66.85,27.08,25.57,42.49,19.97,30.01,37.42,22.26,35.69,56.24,34.64,25.82,51.72,61.79,8.12,48.19,62.29,52.14,34.33,28.28,31.99,10.99,18.47,27.49,20.46,69.27,47.53,26.51,35.13,43.97,43.09,67.24,36.5,31.56,36.13,50.12
58.78,97.11,49.69,24.45,43.35,27.5,45.47,2.42,51.9,35.81,68.4,42.94,29.73,68.05,71.36,28.65,59.74,52.29,50.52,37.85,28.69,37.82,26.36,19.82,35.78,25.61,105.26,70.03,42.78,46.85,51.1,70.49,102.57,42.95,43.3,47.14,62.03
49.02,75.46,44.38,24.8,37.76,23.23,40.35,18.33,35.61,41.29,66.64,39.36,24.99,55.01,67.84,22.43,58.7,55.22,52.47,41.89,20.75,35.49,16.94,25.22,33.19,22.55,85.32,68.64,36.99,48.5,39.03,61.61,65.05,33.26,36.58,36.28,56.29
53.53,81.36,41.98,25.89,35.38,22.27,36.71,44.35,41.43,31.62,61.54,35.12,20.75,60.29,63.2,18.11,53.68,58.32,43.87,28.82,20.4,36.07,9.38,18.76,40,19.97,78.95,74.5,29.64,49.48,33.18,56.96,52.23,32.04,31.66,33.19,52.34
45.06,83.17,51.9,24.8,33.45,21.55,38.52,39.9,54.31,27.3,61.08,37.07,18.01,55.16,56.38,16.55,57.92,55.57,40.55,27.27,12.36,30.97,8.45,17.78,36.55,20.2,55.67,69.15,23.79,42.32,31.49,52.7,41.06,30.81,24.17,30.62,46.93
50.73,87.31,53.54,24.91,40.89,22.54,38.6,46.43,45.47,30.5,60.07,47.13,18.39,66.61,63.41,20.1,59.05,55.15,44.83,39.06,17.99,36.41,9.38,22.09,40.67,24.49,95.04,76.63,22.06,42.99,35.62,59.11,49.03,40.6,27.71,37.98,47.94
59.73,94.66,59.21,14.13,42.29,23.61,54.94,44.69,44.82,33.91,61.38,52.42,18.69,68.36,67.95,9.55,63.91,58.11,47.38,32.81,22.83,38.7,10.43,23.63,43.68,26.02,149.68,82.65,36.58,43.83,37.98,62.86,57.44,39.38,33,40.47,51.48
75.78,102.56,60.74,15.52,48.43,27.11,55.25,55.77,48.13,37.08,64.73,61.1,21.18,71.59,79.13,10.08,71.85,63.45,56.2,40.22,27.44,42.05,16.46,25.81,46.94,28.2,117.2,78.5,37.9,48.45,46.53,63.94,64.42,48.45,34.78,46.15,56.35
79.36,118.35,73.71,26.98,61.33,31.46,57.24,64.53,59.87,43.98,74.72,87.58,28.96,86.54,105.63,13.24,93.11,69.31,66.24,50.52,43.11,48.36,29.9,31.46,52.58,33.57,157.5,83.82,65.26,58.89,71.03,85.99,83.88,60.3,42.74,60.48,60.27
88.75,82.01,54.61,33.75,61.86,29.19,37.39,73.47,36.99,46.59,73.63,73.74,41.21,76.84,113.21,13.62,81.32,79.08,74.27,61.92,58.28,50.36,38.14,35.46,43.86,29.24,170.18,69.9,73.71,58.83,79.1,83.5,89.47,64.32,46.24,52.08,63.69
84.93,72.81,45.56,26.81,45.5,25.41,34.89,64.29,33.22,33.06,62.22,49.45,21.63,69.16,74.41,7.77,66.33,68.48,62.07,36.66,38.13,39.54,20.36,32.14,41.89,25.08,95.51,70.79,36.23,51.01,54.32,62.77,56.2,48.82,37.32,42.42,62.19
60.76,68.22,38.6,23.66,26.48,17.52,27.66,34.18,32,20.19,54.84,39.35,19.91,49.19,45.36,6.29,49.7,49.52,44.45,25.96,12.06,29.9,13.4,17.73,39.05,23.02,40.14,67.32,23.51,44.26,28.77,42.62,45.26,37.38,23.31,35.89,59.09
62.41,58.2,36.1,23.21,29.68,15.3,21.14,39.608,30.96,18.81,55.02,35.55,20.44,47.53,44.84,6.55,51.3,50.01,43.05,27.44,16.74,30.71,16.34,16.15,36.12,21.92,38.48,54.95,23.96,42.16,34.28,42.9,45.61,36.72,18.1,32.08,64.52
66.9,129.9,60.4,29.5,50.65,17.28,26.18,45.036,53.79,28.46,69,64.62,30.96,70.52,81.67,11.31,73.48,60.04,53.21,34.5,40.06,42.24,27.36,24.41,48.97,29.61,89.93,78.76,50.37,55.8,60.12,73.49,79.45,55.05,33,51.1,102.84
78.36,135.13,72.91,39.09,75.53,16.55,28.52,50.464,56.34,49.37,78.85,97.06,47.06,91.26,105.43,17.17,92.02,75.56,88.71,77.25,76.82,65.3,62.14,43.64,54.89,36.42,155.78,74.15,99.02,64.24,105.29,107.58,125.05,75.88,54.3,60.58,139.69
84.27,87.42,47.1,27.91,61.08,10.81,18.85,55.892,27.88,33.32,60.04,49.07,25.38,65.91,62.88,8.69,59.71,58.5,64.42,47.26,73.3,47.22,29.66,29.61,35.18,22.72,26.62,60.68,44.87,47.72,74.59,59.75,50.31,58.5,44.32,41.88,95.2
54.28,68.63,31.97,23.75,32.7,8.74,16.74,61.32,14.71,15.39,51.88,25.08,18.44,38.86,40.68,5.5,38.79,37,43.43,21.24,44.44,29.93,11.08,12.15,21.9,16.7,16.73,44.28,17.09,35.68,38.51,29.21,32.23,38.25,27.32,27.62,50.72
44.83,99.71,56.11,22.17,36.83,9.67,24.76,46.04,44.35,21.88,62.53,32.55,19.27,54.44,48.7,7.08,55.27,38.1,43.07,27.56,42.24,36.92,14.42,18.47,36.67,21.14,41.56,72.73,26.86,45.01,33.85,55.46,54.69,40.89,29.42,34.13,57.5
44.62,101.89,63.95,19.53,38.18,9.15,24.22,43.12,43.13,22.57,58.34,38.17,15.52,53.11,43.88,6.89,53.2,35.12,42.83,29.23,39.72,33.4,12.05,19.18,38.43,21.67,53.85,67.85,23.01,49.85,26.28,46.57,47.95,40.8,29.52,31.09,54.52
56.63,128.28,75.38,24.86,49.04,9.38,23.34,56.48,52.95,26.4,66.68,49.13,19.96,64.78,58.99,9.69,68.61,44.53,51.69,36.68,52.38,40.6,18.12,24.16,42.32,26.61,68.11,71.48,38.13,54.37,38.51,62.42,75.16,54.52,29.93,41.82,78.59
67.12,137.6,87.01,34.95,53.67,9.79,23.16,56.45,69.89,35.31,75.63,49.56,25.5,71.53,91.3,12.38,87.47,54.9,57.7,37.45,55.91,58.42,26.19,28.54,54.56,29.77,82.16,83.77,55.34,65.91,47.72,78.53,112.22,52.42,41.61,46.12,93.21
77.48,135.56,89.23,35.8,58.75,10.04,22.63,65.92,74.62,41.71,79.42,56.63,28.98,71.24,114.56,15.58,103.14,70.67,63.64,46.8,68.3,69.75,25.6,32.12,61.26,32.7,109.78,95.1,75.61,82.27,52.38,103.67,120,61.45,70.52,54.83,93.68
101.29,124.87,86.51,39.56,89.39,10.31,19.55,89.97,53.11,46.28,74.51,67.15,29.42,93.1,100.03,12.58,93.8,70.03,85.87,64.34,112.69,54.06,21.04,39.75,51.06,33.53,109.97,90.69,67.78,82.8,85.62,90,102.78,86.27,42.65,55.48,124.71
78.77,80.04,62,26.44,62.32,8.96,12.79,71.76,27.66,31.56,59.5,43.66,22.74,57.08,77.06,8.49,63.67,60.4,70.98,52.6,81.64,38.71,11.93,27.65,38.33,23.04,93.95,59.18,52.38,86.01,52.18,47.9,51.55,68.18,44.63,39.09,85.85
54.93,78.43,54.07,24.1,35.22,8.55,23.27,51.5,36.24,33.06,59.04,33.73,23.47,48.54,60.1,6.53,62.81,49.87,49.29,29.83,41.49,36.18,14.2,21.91,38.59,21.26,72.14,69.83,45.02,70.66,34.5,42.04,55.86,44.4,33.14,33.35,70.82
47.35,70.6,53.43,20.29,18.83,8.31,30.42,40.69,29.22,27.39,51.97,30.64,24.2,38.75,38.98,5.29,43.96,35.59,32.07,23.96,30.03,24.53,10.47,13.6,29.41,18.24,51.81,58.8,50.49,56.56,23.16,27.22,22.91,39.85,23.49,31.65,58.51
49.59,94.33,64.59,18.6,32.24,8.34,39.49,46.16,33.9,39.02,53.55,33.08,24.93,50.44,51.04,5.27,54.74,35.05,38.24,30.35,39.67,32.05,9.68,22.4,28.57,21.43,59.15,67.82,55.96,64.12,34.8,34.36,27.21,50.7,24.18,40.82,67.58
64.93,88.72,67.81,25.425,47.3,8.795,32.07,66.97,34.26,53.62,62.355,47.21,25.66,67.84,76.74,9.02,65.42,57.17,56.52,40.85,72.77,44.4,7.155,22.53,32.87,24.17,80.8,66.93,61.43,68.49,71.01,44.62,35.2,69.04,42.71,52.49,75.87
65.21,101.35,71.32,32.25,49.73,9.25,34.45,54.23,46.71,63.37,71.16,49.99,27.31,70.38,98.52,12.77,78.32,48.31,49.19,45.4,71.22,44.48,4.63,23.05,33.49,24.27,85.36,83.29,66.9,83.03,71.05,57.23,46.92,70,42.55,52.66,100.67
55.31,79.46,55.98,29.66,39.52,11.31,37.23,45.33,35.57,62.12,61.59,46.85,25.89,54.45,91.07,6.78,65.95,48.58,58.89,67.46,52.87,45.2,6.17,31.27,30.18,22.76,82.96,65.7,62.01,82.69,62.47,50.95,40.64,56.36,51.4,45.94,89.73
57.15,77.47,53.59,26.95,42.67,15.38,31.19,45.72,33.79,52.3,60.53,44.04,24.94,52.02,89.86,8.41,60.71,43.18,54.14,47.9,62.82,55.13,7.69,23.01,34.59,19.98,67.61,52.16,53.51,76.06,67.26,41.87,40.32,57.76,36.22,41.38,85.78
48.79,71.1,51.05,23.17,19.61,13.79,33.01,30,29.38,26.21,53.11,28.07,31.79,38.72,49.36,5.72,47.57,30.1,24.94,21.65,28.42,34.59,4.98,13.56,32.1,17.81,37.4,59.67,28.83,53.79,23.76,25.04,26.75,31.08,22.76,27.33,53.36
42.67,78.05,59.96,18.13,30.77,13.71,37.36,32.64,36.08,31.71,53.35,27.25,36.73,45.89,53.74,4.17,49.41,32.48,33.22,28.84,34.5,40.69,5.91,17.2,35.94,20.19,41.68,69.86,22.82,68.78,28.03,30.37,23.12,30.96,27.49,29.66,64.51
50.14,102.48,62.46,19.23,38.39,14.37,34.76,39.93,47.65,46.19,59.71,39.83,42.55,54.48,79.83,6.57,77.59,47.25,41.04,39.84,43.95,60.76,6.42,18.98,43.23,22.88,53.22,79.57,34.43,83.17,42.95,43.83,34.45,36.07,35.47,43.78,72.57
48.4,104.16,58.61,25.57,46.4,15.11,28.66,59.02,45.19,57.59,65.69,60.39,54.06,58.07,94.75,7.81,76.04,69.72,50.86,43,58.94,71.03,7.72,26.12,44.23,24.4,71.99,53.34,51.48,91.11,64.05,56.06,51.64,45.97,42.54,53.55,86.05
42.8,73.57,50.36,30.07,40.76,23.12,35.62,80.15,34.05,52.32,59.87,45.64,45.14,51.54,89.02,6.83,63.15,57.31,54.76,58.86,61.93,63.79,7.9,28.08,37.39,17.34,63.29,41.57,46.32,90.96,60.41,45.76,33.51,41.13,54.89,41.83,78.25
39.33,70.43,43.33,27.9,43.89,1.54,40.55,51.7,41.25,45.46,59.25,29.5,32.95,38.92,71.62,5.39,54.21,24.6,39.59,41.56,43.67,51.44,7.28,15.56,35.59,13.16,52.4,49.91,33.57,82.99,37.65,37.58,28.35,30,35.82,40.05,58.24
48.99,91.95,54.95,30.76,36.66,2.92,43.21,70.88,44.92,39.73,63.67,41.81,36.72,49.92,72.63,7.11,57.94,49.3,40.11,39.82,46.85,54.18,8.66,18.04,39.98,17.08,61.07,66.68,45.06,76.26,42.64,45.23,44.63,34.97,27.76,41.6,76.39
52.19,102.5,64.3,31.05,42.17,12.42,43.17,65.67,51.07,44.22,64.49,48.2,41.5,53.15,87.82,7.61,68.22,44.9,38.24,42.02,48.01,59.86,8.98,20.46,42.44,19.21,68.94,69.29,44.22,85.4,42.74,44.41,51.29,42.53,37.15,47.72,72.53
71,101.93,69.26,36.27,52.44,10.83,42.39,75.43,44.93,61.6,67.45,54.16,50.84,65.71,119.64,8.72,90.04,64.34,60.32,61.55,70.54,81.68,11.85,29.94,46.63,24.85,88.47,73.32,64.48,105.43,76.16,60.52,57.79,57.78,64.2,52.28,95.86
40.73,67.71,43.64,29.09,38.09,7.61,39.41,45.65,23.48,43.39,56.21,34.55,34.23,42.14,79.71,5.34,53.9,42.64,42.39,42.88,51.33,48.78,10.82,17.48,29.23,12.98,60.72,49.41,41.2,85.95,50.29,31.22,32.47,39.36,33.23,35.21,75.77
46.02,85.91,44.46,35.33,29.82,7.8,42.45,38.32,35.24,35.66,63.1,37.39,32.32,38.07,66.36,6.34,48.54,32.44,32.79,35.49,39.13,45.98,12.59,17.01,34.56,15.15,50.65,60.92,46,66.47,32.96,28.37,51.43,31.12,27.22,34.74,65.23
45.04,81.77,65.76,27.28,30.06,6.8,41.98,35.94,32.44,34.22,54.67,31.37,33.32,44.54,70.92,3.93,58.36,34.93,34.3,30.79,41.14,44.4,10.94,18.14,36.86,17.25,53.88,67.72,43.595,67.6,35.6,30.75,32.95,35.07,28.74,31.37,60.79
46.75,88.07,66.49,28.79,32.65,8.44,43.4,39.12,39.27,39.14,61.48,38.07,38.02,55.66,85.82,6.25,67.39,38.51,39.2,32.27,44.03,54.17,11.52,17.64,44.35,18.65,61.96,67.18,41.19,79.98,49.78,45.84,42.37,36.67,32.15,40.44,72.7
48.43,108.52,68.69,34.68,35.68,9.54,43.68,49.2,49.95,50.12,66.42,44.19,41.7,61.79,98.73,5.88,71.1,42.36,41.08,40.85,54.61,60.81,13.79,21.58,52.71,19.63,67.63,77.33,50.69,85.23,55.58,69.25,61.74,40.78,30.5,51.75,76.75
52.4,98.1,62.02,30.78,30.3,7.01,42.29,47.43,48.61,54.75,67.7,40.67,35.46,54.79,99.29,5.91,66.5,46.23,40.97,44.34,50.11,65.44,13.87,22.47,51.5,18.62,73.34,73.36,45.17,93.85,57.17,72.01,57.85,39.31,42.72,49.5,69.19
50.34,76.44,56.97,27.38,24.69,6.11,42.69,37.07,39.15,33.95,58.46,32.54,28.4,49.88,80.93,5.53,58.16,43.72,29.73,29.69,38.26,53.14,13.52,17.32,45.53,12.61,56.36,74.54,35.09,78.25,35.6,48.79,33.65,30.12,33.95,35.19,55.72
47.54,90.53,70.31,27.84,30.37,7.83,44.4,38.1,43.8,43.46,61.96,37.12,31.51,56.98,92.86,6.32,73.56,41.55,39.93,39.58,44.75,54.02,14.72,20.43,46.97,16.27,61.76,78.33,35.45,85.03,47.5,54.07,37.52,33.78,31.9,38.09,79.36
55.13,74.05,55.89,29.9,33.58,7.58,20.84,53.64,31.24,53.66,61.26,42.25,40.33,64.34,115.41,7.59,83.95,59.37,57.89,44.77,64.24,68.99,16.29,27.35,43.12,17.12,74.54,82.15,47.7,72.83,61.96,65.94,39.13,47.22,40.26,42.94,88.36
53.6,64.72,41.22,27.91,20.65,23.37,19.53,36.1,36.07,36.52,57.91,21.54,27.94,42.9,68.69,4.66,47.94,41.29,36.33,30.99,38.15,46.35,14.48,16.97,37.86,11.57,55.99,67.54,32.92,73.89,21.65,53.85,29.66,21.57,32.67,30.87,54.69
69.58,79.57,61.74,29.44,38.44,50.56,21.3,53.57,62.52,65.34,67.26,38.34,40.27,59.53,133.6,7.85,88.19,68.29,51.12,51.55,59.87,83.95,28.02,28.26,61.89,28.69,87.45,70.58,52.56,106.4,43.42,79.43,49.75,40.25,57.73,49.62,70.23
67.9,62.12,53.18,31.71,32.15,46.97,20.56,45.69,48.63,47.81,67.24,35.61,31.97,51.32,97.8,7.22,65.86,56.53,45.03,40.92,52.33,62.11,24.66,23.82,47.35,21.96,71.84,58.91,45.31,82.26,41.44,61.69,51.82,33.13,39.55,38.91,65.5
55.58,71.87,60.63,26.63,24.64,42.01,20.56,36.34,40.59,29.99,55.67,44.21,27.53,45.72,80.22,5.51,56.64,35.39,39.43,25.94,34.9,53.59,18.86,16.6,40.57,22.15,54.44,69.54,31.58,68.01,35.56,43.04,33.95,28.7,28.31,34.61,59.83
53.49,78.65,66.46,23.81,24.97,40.47,21.77,28.63,42.32,38.86,57.91,43.76,25.22,47.64,74.94,6.77,61.22,41.99,33.73,29.82,36.68,50.15,14.95,20.16,46.43,22.25,55.9,79.89,25.67,66.09,36,41.44,28.4,26.24,28.31,32.05,64.32
63.74,91.31,64.31,24.22,26.21,49.78,22.03,27.89,49.01,41.28,58.83,40.62,29.49,55.44,79.31,8.18,70.58,47.59,36.67,32.94,42.14,63.83,18.89,18.97,46.98,23.83,63.43,81.7,33.46,70.6,41.81,55.97,34.9,37.59,35.66,40.72,84.99
68.26,105.25,75.02,21.78,33.58,48.05,22.43,26.43,52.84,43.91,61.01,58.57,34.69,57.14,91.84,7.01,80.97,46.3,46.56,36.45,46.64,65.78,22.08,21.83,51.21,26.16,71.86,78.93,37.27,73.63,48.36,69.55,39.24,41.1,36.58,46.63,79.68
69.08,103.86,77.25,25.24,36.85,53.45,21.7,33.58,50.81,50.66,57.3,66.55,33.87,62.26,94.49,7.38,80.38,46.95,52.63,46.04,50.3,69.56,26.16,23.71,50.29,26.14,76.33,79.29,48.86,78.81,64.06,73.6,49.44,49.18,39.48,48.3,91.41
88.92,84.64,59.37,20.99,36.46,51.52,20.67,36.99,36.44,55.22,45.5,65.87,43.77,61.78,92.23,6.69,59.19,45.65,52.51,35.14,62.17,81.73,31.75,29.98,43.66,24.43,76.83,87.46,45.5,72.66,65.21,69.16,59.32,49.92,44.69,46.97,92.52
52.1,50.89,32.22,15,13.01,28.99,19.5,24.65,33.72,32.65,43.88,35.05,36.17,33.29,73.14,5.03,32.75,44.35,27.3,20.3,28.98,46.96,16.51,35.135,31.15,14.78,50.48,42.89,29.16,65.21,29.06,42.6,59.14,21.98,31.41,25.61,41.39
47.66,62.79,40.18,11.78,15.46,33.09,20.42,22.27,29.45,25.15,42.48,29.93,19.74,33.34,54.05,4.03,46.49,43.05,27.48,17.12,28.13,39.4,16.96,40.29,36.08,13.85,44.76,65.33,21.92,61.03,25.51,35.38,60.2,20.77,19.57,22.98,55.52
39.41,63.1,55.57,15.21,18.25,35.52,21.65,22.89,28.73,26.95,42.79,35.58,17.21,37.16,42.04,3.72,43.38,33.27,34.23,22.62,26.56,36.07,18.55,49.9,36.82,16.52,41.11,67.57,21.41,61.74,25.05,33.01,35.6,26.69,24.19,26.36,50.21
46.26,67.31,52.31,15.65,14.25,35.72,19.28,25.4,30.35,22.26,42.32,39.42,21.52,39,42.86,4.19,45.32,40.53,38.44,18.96,28.25,42.66,22.89,27.45,33,15.48,44.6,58.7,23.98,67.85,25.87,36.28,36.52,25.65,27.26,30.47,63.27
47.06,66.48,46.26,14.94,16.97,33.9,19.06,26.59,33.6,28.02,42.06,38.76,24.3,36.45,46.97,4.36,48.18,42.77,28.42,23.37,31.96,42.8,23.04,20.7,36.49,15.71,46.73,56.14,24.89,65.65,27.78,36.86,39.84,26.61,30.11,30.74,52.8
50.49,80.28,63.54,15.05,26.81,39.09,20.65,29.32,41.45,36.72,42.97,47.75,26.61,42.43,59.89,3.99,60.93,46.27,31.17,27.89,44.23,52.37,26.71,21.25,42.83,19.43,56.17,76.68,26.95,75.57,38.21,46.35,47.35,29.86,33.03,31.38,67.6
56.58,95.85,71.32,16.86,35.08,47.94,17.66,36.97,49.36,49.16,36.58,57.53,30.33,53.14,77.45,3.87,76.09,53.44,36.01,32.5,48.94,63.6,29.85,22.49,52.16,22.76,71.44,78.86,31.89,75.58,50.81,61.6,64.96,36.23,31.12,43.01,83.81
61.42,96.42,71.27,21.2,44.35,53.1,34.62,48.75,55.06,64.8,25.39,73.43,39.16,61.58,96.02,3.75,86.57,64.04,43.81,39.45,57.61,77.99,36.5,30.56,57.54,26.76,76.55,85.52,50.87,87.28,63.45,79.81,93.66,48.95,45.26,58.3,99.48
70.34,108.16,67.36,23.7,31.93,57.59,47.92,57.08,55.33,71.07,26.59,71.66,40,65.21,93.1,3.63,84.31,63.49,43.96,45.57,50.24,71.09,35.27,40.52,52.79,23.93,84.58,82.76,45.83,77.4,63.72,79.28,94.84,46.46,45.67,59.21,89.36
72.2,81.09,57.87,20.34,35.67,46.83,45.03,57.28,40.34,67.58,25.03,58.76,34.75,53.5,84.11,4.32,80.55,58.65,42.99,39.72,48.32,74,27.67,40,44.86,19.91,79.6,81.15,36.2,79.03,56.62,78.03,83.64,46.43,46.57,48.95,90.2
48.17,61.82,59.8,14.21,21.26,37.04,49.17,38.27,49.16,33.61,20.59,34.32,28.94,38.51,57.19,3.22,57.19,40.24,29.66,23.76,29.06,46.41,22.41,25.96,39.44,13.27,45.95,67.64,26.74,66.15,47.27,44.06,44.43,21.93,26.36,27.13,57.82
43.79,74.31,62.24,13.05,25.66,38.98,53.02,32.6,47.27,33.72,19.91,36.48,22.92,44.86,53.04,2.64,52.24,43.75,33.86,23.67,28.17,44.42,23.07,26.46,45.97,15.19,50.95,75.21,28.92,69.23,37.92,51.55,38.59,27.74,25.44,32.81,71.33
