V1,V2,V3,V4,V5,V6,V8,V9,V10,V11,V12,V14,V15,V16,V18,V19,V20,V21,V22,V23,V24,V25,V27,V28,V29,V30,V31,V32,V33,V35,V36,V37,V38,V39
455.39,553.3,555.28,333.47,515.67,511.22,458.75,484.49,360.58,426.93,366.4,337.2,570.86,529.49,358.76,474.68,306.82,504.52,284.54,469.16,525.73,649.64,505.57,426.83,459.07,453.88,363.43,494.29,574.95,494.33,538.78,311.15,485.6,601.02
470.53,615.09,616.84,348.45,625.6,577.37,463.46,563.42,348.67,476.94,411.49,406.85,631.64,547.14,372.34,553.51,354.74,676.05,374.93,591.13,556.2,706.13,546.75,427.99,539.26,444.79,360.78,500.47,646.73,541.97,586.3,378.08,614.78,723.26
508.77,558.92,586.08,385.52,515.14,586.23,509.4,592.82,401.16,527.85,422.69,436.95,605.65,545.32,413.98,554.71,425.98,627.11,324.82,456.01,572.74,648.32,525.56,491.18,553.89,538.46,466.06,471.43,589.77,551.76,503.33,408.15,537.41,671.38
346,432.22,411.36,341.77,377.82,408.51,348.82,389.18,326.99,507.59,343.02,324.11,510.71,400.87,305.19,416.62,285.16,456.45,254.2,375.8,479.55,441.37,475.29,381.2,388.77,430.58,308.57,431.16,430.04,550.35,405.17,359.4,411.15,448.41
326.12,343.16,402.33,330.54,494.91,428.19,324.57,418.38,330.02,511.93,378.64,342.99,502.12,429.36,305.82,385.44,280.41,583.34,379,411.7,437.04,386.2225,464.17,355.91,351.46,358.33,281.93,438.27,479.56,451.97,506.6,379.38,459.3,571.56
190.47,275.35,231.37,192.64,255.56,228.16,260.39,244.31,229.92,269.67,208.61,220.5,326.18,267.17,209.65,277.68,183.54,275.58,175.38,246.38,320.71,331.075,283.33,223.9,211.4,281.62,252.54,254.59,256.18,279.62,250.3,218.25,299.65,282.78
231.04,303.64,284.17,195.31,300.45,248.84,306.9,287.91,285.94,358.59,234.35,243.73,412.22,317.53,236.32,324.56,205.79,441.6,171.8,267.07,369.61,275.9275,312.79,244.96,272.54,372.9,223.15,266.77,320.54,335.14,253.61,240.06,274.59,332.65
218.27,246.71,213,169.4,267.35,196.15,255.27,251.26,234.29,317.79,224.02,199.01,320.94,249.88,198.31,258.98,171.67,383.61,201.94,224.45,307.15,220.78,272.21,205.24,229.58,333.17,170.44,241.23,263.4,284.3,230.76,204.73,228.31,281.15
207.35,276.36,222.54,162.56,293.29,191.23,220.02,264.95,238.03,316.18,205.53,183.72,316.17,225.07,171.76,238.24,157.57,392.35,212.83,220.32,297.01,288.08,249.85,198.1,212.17,324.65,171.76,239.76,267.94,273.6,227.12,209.6,240.98,267.02
270.7,395.21,300.65,160.02,335.61,254.5,274.23,334.26,272.86,439.43,243.7,267.41,342.54,294.75,197.47,285.7,193.76,423.01,156.69,281.85,360.58,357.45,281.1,249.96,278.73,312.02,198.57,352.86,342.39,304.09,240.42,192.33,314.87,349.81
